name,nameUi,type,year,model,scale,country,tonnageMin,tonnageMax,speedLimiter,param
bb_7_bismarck,Super Battleship II,bb,1929,bismarck_hull_a,1.40,germany,104000,130000,32.0,"type(bb), BB_Modern_Germany_Wider, No_Barb, bb, g4"
bb_6_bismarck,Super Battleship I,bb,1929,bismarck_hull_a,1.20,germany,84000,105000,32.0,"type(bb), BB_Modern_Germany_Wide, No_Barb, bb, g4"
bb_5_bismarck,Modern Battleship II,bb,1927,bismarck_hull_a,1.03,germany,52500,82500,32.0,"type(bb), BB_Modern_Germany, No_Barb, bb, g4"
bb_5_bismarck_small,Modern Battleship I,bb,1927,bismarck_hull_a,0.93,germany,42500,54500,32.0,"type(bb), BB_Modern_Germany_small, Middle_SuperStructure, bb, g4"
bb_4_german,Dreadnought V,bb,1919,dreadnought_hull_c_elizabeth,1.40,germany,47000,61000,25.0,"type(bb), BC_Derfflinger, BC_Derfflinger_Large, bb, g3, var(stern_step), battlecruiser_forward, barbette_need, Big_SuperStructure"
bb_3_german,Dreadnought IV,bb,1919,dreadnought_hull_c_long,1.43,germany,44000,57000,25.0,"type(bb), BC_Derfflinger, BC_Derfflinger_Large, bb, g3, var(stern_step), battlecruiser_forward, barbette_need, RussianCenterline"
bb_2_german,Dreadnought III,bb,1910,dreadnought_hull_d_short,1.20,germany,27000,34000,22.3,"type(bb), BC_Derfflinger, bb, g3, battlecruiser_forward, barbette_need, RussianCenterline"
bb_1_german_helgoland,Dreadnought II,bb,1908,dreadnought_hull_c,1.08,germany,23500,27500,22.0,"type(bb), BB_Helgoland, bb, g2, Cross_Deck_Guns, Small_Foredeck, Late_Cross_Deck_plus, german_sides, var(stern_flat)"
bb_1_german_nassau,Dreadnought I,bb,1905,dreadnought_hull_c,1.05,germany,19500,22500,21.5,"type(bb), BB_Nassau_Large, bb, g2, Late_Cross_Deck_plus,Cross_Deck_Guns, german_sides, var(stern_flat)"
bb_1_german_early,Small Dreadnought,bb,1905,dreadnought_hull_c,0.95,germany,17500,19500,21.5,"type(bb), BB_Nassau, bb, g2, Cross_Deck_Guns, german_sides, var(stern_flat)"
b2_germany,Battleship II,bb,1895,brandenburg_hull_b,1.05,germany,11500,13500,18.5,"type(bb), B_Brandenburg, g1, old_predread, var(middle_guns)"
b2_friedrich,Battleship III,bb,1892,friedrich_hull_a,1.00,germany,12000,16000,18.8,"type(bb), B_Friedrich, g1"
b1_germany,Battleship I,bb,1890,brandenburg_hull_b,1.00,germany,9250,11750,18.4,"type(bb), B_Brandenburg, g1, old_predread, var(middle_balcony)"
bc_6_germany,Hybrid Battleship,bc,1935,bismarck_hull_a_tall,0.84,germany,38000,52500,31.2,"type(bc), BC_Scharnhorst, bc, No_Barb, g4"
bc_5_germany,Modern Battlecruiser,bc,1929,bismarck_hull_a,0.84,germany,34000,49000,34.0,"type(bc), BC_Modern_German, No_Barb, bc, g4"
bc_4_german,Large Cruiser,bc,1929,bismarck_hull_a,0.86,germany,30500,37000,35.5,"type(bc), CA_Heavy_German, No_Barb, ca, g4"
